KEGG	Name	Equation	MetaNetX	Rhea	ModelSEED	BiGG	MetaCyc	SABIO-RK
R00032	beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	beta-Carotene + Oxygen <=> 2 Retinal	MNXR153092	32887;32888;32889;32890	rxn00025;rxn35456	BCDO;CAROMO	RXN-13374	
R00033	thiamine:oxygen 5-oxidoreductase	Thiamine + Oxygen <=> Hydrogen peroxide + Thiamine aldehyde	MNXR106347		rxn00026			
R00034	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase	Cyclobutadipyrimidine <=> 2 Pyrimidine 5'-deoxynucleotide	MNXR106348		rxn00027			
R00036	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing porphobilinogen-forming)	2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O	MNXR103095	24064;24065;24066;24067	rxn00029;rxn28081	PPBNGS;PPBNGS_1;PPBNGS_h	PORPHOBILSYNTH-RXN	
R00038	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	2 Propanal <=> 4-Hydroxyhexan-3-one	MNXR106349	11100;11101;11102;11103	rxn00030		PROPIOIN-SYNTHASE-RXN	
R00039	raffinose:raffinose 1F-alpha-D-galactosyltransferase	2 Raffinose <=> Lychnose + Sucrose	MNXR146828	14125;14126;14127;14128	rxn21869		RXN-11490	
R00041	long-chain-alcohol:oxygen oxidoreductase	2 Long-chain alcohol + Oxygen <=> 2 Long-chain aldehyde + 2 H2O	MNXR146831					
R00042	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	2 3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> 2 4-Hydroxyphenylacetate + 2 CO2	MNXR138953	17197;17198;17199;17200	rxn00033;rxn11349		1.2.3.13-RXN	
R00043	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)	1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene + Oxygen <=> 2 4-Hydroxy-3-methoxy-benzaldehyde	MNXR106353	21340;21341;21342;21343	rxn00034		LIGNOSTILBENE-ALPHA-BETA-DIOXYGENASE-RXN	
R00044	columbamine:oxygen oxidoreductase (cyclizing)	2 Columbamine + Oxygen <=> 2 Berberine + 2 H2O	MNXR106354	23564;23565;23566;23567	rxn00035		COLUMBAMINE-OXIDASE-RXN	
R00045	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	Oxygen + 2 3,4-Dihydroxy-L-phenylalanine <=> 2 Dopaquinone + 2 H2O	MNXR104992	34287;34288;34289;34290	rxn00036	TYRDOPO3	RXN-13061	635;7344
R00047	6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)	Oxygen + 6-Hydroxynicotinate + Reduced acceptor <=> 2,5-Dihydroxypyridine + CO2 + Acceptor + H2O	MNXR106356					
R00048	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate	MNXR106357	10172;10173;10174;10175	rxn00038		HYDROXYBUTYRATE-DIMER-HYDROLASE-RXN	638
R00049	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	2 1-O-Galloyl-beta-D-glucose <=> D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose	MNXR106358	11416;11417;11418;11419	rxn00039		2.3.1.90-RXN	
R00052	chloride:hydrogen-peroxide oxidoreductase	Hydrogen peroxide + Alkane + Hydrochloric acid <=> RCl + 2 H2O	MNXR146833					
R00053	digallate acylhydrolase	Digallate + H2O <=> 2 Gallate	MNXR106360	16365;16366;16367;16368	rxn00040		TANNASE-RXN	
R00054	orsellinate-depside hydrolase	Lecanoric acid + H2O <=> 2 Orsellinate	MNXR106361	19549;19550;19551;19552	rxn00041		ORSELLINATE-DEPSIDE-HYDROLASE-RXN	
R00055	inosine:oxygen 5'-oxidoreductase	2 Inosine + Oxygen <=> 2 5'-Oxoinosine + 2 H2O	MNXR106362	23036;23037;23038;23039	rxn00042		RXN-7802	
R00056	dinucleotide nucleotidohydrolase	Dinucleotide + H2O <=> 2 Mononucleotide	MNXR106363		rxn05763			
R00057	thiol:oxygen oxidoreductase	Oxygen + 2 R'C(R)SH <=> R'C(R)S-S(R)CR' + Hydrogen peroxide	MNXR146836	17357;17358;17359;17360				
R00058	catechol:oxygen oxidoreductase	Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O	MNXR106365	21632;21633;21634;21635	rxn00043		CATECHOL-OXIDASE-RXN	11651
R00059	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	N-(6-Aminohexanoyl)-6-aminohexanoate + H2O <=> 2 6-Aminohexanoate	MNXR95638	21364;21365;21366;21367	rxn00044	AHXDH	RXN-3962	
R00060	Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)	Oxygen + 2 Sulochrin <=> 2 (+)-Bisdechlorogeodin + 2 H2O	MNXR106366	24092;24093;24094;24095	rxn05765		1.10.3.7-RXN	
R00061	sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)	Oxygen + 2 Sulochrin <=> 2 (-)-Bisdechlorogeodin + 2 H2O	MNXR106367	22616;22617;22618;22619	rxn05766		1.10.3.8-RXN	
R00062	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase	2 Bilirubin-glucuronoside <=> Bilirubin + Bilirubin beta-diglucuronide	MNXR151426	16885;16886;16887;16888	rxn00045			
R00063	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase	2 1-O-Sinapoyl-beta-D-glucose <=> 1,2-Bis-O-sinapoyl-beta-D-glucoside + D-Glucose	MNXR106369	22664;22665;22666;22667	rxn00046		2.3.1.103-RXN	
R00066	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil	MNXR192030	20772;20773;20774;20775	rxn00048;rxn32591		RIBOFLAVIN-SYN-RXN	653
R00067	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	2 e- + 2 H+ <=> Hydrogen	MNXR192057		rxn05767		MVHMETH-RXN	
R00068	L-ascorbate:oxygen oxidoreductase	Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O	MNXR191857		rxn00028;rxn33449;rxn33465;rxn38163	ASCBOR		626
R00069	4-imidazolone-5-propanoate:oxygen oxidoreductase	Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O	MNXR106371		rxn14394		IMIDHYD-RXN	
R00070	D-urobilinogen:oxygen oxidoreductase	2 D-Urobilinogen + Oxygen <=> 2 D-Urobilin + 2 H2O	MNXR146839		rxn00051		RXN-16676	
R00072	thiamine-aldehyde:oxygen 5-oxidoreductase	Thiamine aldehyde + Oxygen + H2O <=> Hydrogen peroxide + Thiamine acetic acid	MNXR106373		rxn00052			
R00073	reduced acceptor:prostaglandin G2 oxidoreductase	Prostaglandin H2 + Acceptor + H2O <=> Prostaglandin G2 + Reduced acceptor	MNXR106374					
R00074	2-aminophenol:oxygen oxidoreductase (dimerizing)	4 2-Aminophenol + 3 Oxygen <=> 2 2-Aminophenoxazin-3-one + 6 H2O	MNXR106375	40963;40964;40965;40966	rxn00054		O-AMINOPHENOL-OXIDASE-RXN	
R00075	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine	MNXR106376	16481;16482;16483;16484	rxn00055;rxn37935		2.5.1.43-RXN	
R00076	ATP:phosphorylase-b phosphotransferase	4 ATP + 2 Phosphorylase b <=> 4 ADP + Phosphorylase a	MNXR106377		rxn14392			
R00077	[Phosphorylase a] phosphohydrolase	Phosphorylase a + 4 H2O <=> 2 Phosphorylase b + 4 Orthophosphate	MNXR106378		rxn05770			664
R00078	Fe(II):oxygen oxidoreductase	Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O	MNXR99561	11148;11149;11150;11151	rxn00056;rxn25990;rxn31826	FERO;FEROc;FEROpp;r0016	RXN0-1483	665
R00080	Catechol:oxygen oxidoreductase (dimerizing)	4 Catechol + 3 Oxygen <=> 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione	MNXR106379	12809;12810;12811;12812	rxn00057		CATECHOL-OXIDASE-DIMERIZING-RXN	
R00081	Ferrocytochrome-c:oxygen oxidoreductase	Oxygen + 4 Ferrocytochrome c + 4 H+ <=> 4 Ferricytochrome c + 2 H2O	MNXR151778					
R00082	Ferrocytochrome c2:oxygen oxidoreductase	Oxygen + 4 Ferrocytochrome c2 <=> 4 Ferricytochrome c2 + 2 H2O	MNXR106381		rxn05771;rxn31386			
R00083	Benzenediol:oxygen oxidoreductase	Oxygen + 4 Benzenediol <=> 4 Semiquinone + 2 H2O	MNXR146841					
R00084	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia	MNXR100658	13185;13186;13187;13188	rxn00060;rxn20490;rxn30032;rxn30743;rxn35409	HMBS;HMBS_1;PPBNGD	OHMETHYLBILANESYN-RXN	669
R00085	ATP diphosphohydrolase (phosphate-forming)	ATP + 2 H2O <=> AMP + 2 Orthophosphate	MNXR96128	20988;20989;20990;20991	rxn00061;rxn27710	ATPH1;ATPH1e	APYRASE-RXN	670
R00086	ATP phosphohydrolase	ATP + H2O <=> ADP + Orthophosphate	MNXR153054	13065;13066;13067;13068	rxn00062;rxn11300;rxn27586;rxn27587;rxn27588;rxn27616;rxn38021;rxn38022;rxn38023;rxn38233	ATPM;ATPM_h;ATPPHm;NTP1	ATPASE-RXN	75
R00087	ATP diphosphohydrolase (diphosphate-forming)	ATP + H2O <=> AMP + Diphosphate	MNXR145807	14245;14246;14247;14248	rxn00063;rxn33891	HMR_3966;NTPP6	ATP-PYROPHOSPHATASE-RXN	245
R00088	ATP aminohydrolase	ATP + H2O <=> ITP + Ammonia	MNXR190722	13037;13038;13039;13040	rxn00064;rxn29995	ATPHs	ATP-DEAMINASE-RXN	
R00089	ATP diphosphate-lyase (cyclizing 3',5'-cyclic-AMP-forming)	ATP <=> 3',5'-Cyclic AMP + Diphosphate	MNXR95444	15389;15390;15391;15392	rxn00065;rxn35429	ADECn;ADNCYC	ADENYLATECYC-RXN	101
R00090	NADH:hydrogen-peroxide oxidoreductase	Hydrogen peroxide + NADH + H+ <=> NAD+ + 2 H2O	MNXR101879	18509;18510;18511;18512	rxn00066	NADHPO	NADH-PEROXIDASE-RXN	369
R00091	CoA:NAD+ oxidoreductase	NAD+ + 2 CoA <=> CoA-disulfide + NADH + H+	MNXR192059	14701;14702;14703;14704			RXN-16679	673
R00092	Fe2+:NAD+ oxidoreductase	NAD+ + 2 Fe2+ <=> NADH + H+ + 2 Fe3+	MNXR106384		rxn00068;rxn27853;rxn32326;rxn32328;rxn32703	TRNFE		674
R00093	L-glutamate:NAD+ oxidoreductase (transaminating)	2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+	MNXR100289	13753;13754;13755;13756	rxn00069;rxn27888	GLTS_m;GLUS;GLUSx	GLUTAMATE-SYNTHASE-NADH-RXN	675
R00094	glutathione:NAD+ oxidoreductase	2 Glutathione + NAD+ <=> Glutathione disulfide + NADH + H+	MNXR100097		rxn00070;rxn34788;rxn34789	GDR;GDRh;GDRm		676
R00095	NADH:monodehydroascorbate oxidoreductase	NAD+ + 2 Ascorbate <=> NADH + 2 Monodehydroascorbate + H+	MNXR191863					
R00097	NADH:cob(III)alamine oxidoreductase	NAD+ + 2 Cob(II)alamin + 2 H2O + H+ <=> NADH + 2 Aquacob(III)alamin	MNXR189509					
R00099	cob(I)alamin:NAD+ oxidoreductase	NAD+ + 2 Cob(I)alamin <=> NADH + H+ + 2 Cob(II)alamin	MNXR189084	17481;17482;17483;17484	rxn00074	COB2		
R00100	NADH:ferricytochrome-b5 oxidoreductase	NADH + 2 Ferricytochrome b5 <=> NAD+ + 2 Ferrocytochrome b5 + H+	MNXR146847					
R00101	NADH:ferrileghemoglobin oxidoreductase	NADH + 2 Ferrileghemoglobin <=> NAD+ + 2 Ferroleghemoglobin + H+	MNXR146851					
R00102	NAD+ glycohydrolase	NAD+ + H2O <=> Nicotinamide + ADP-ribose	MNXR145761	16301;16302;16303;16304	rxn00075;rxn14307;rxn20263	NADN;NADNe;NADNm	NADNUCLEOSID-RXN;RXN-13859	683
R00103	NAD+ phosphohydrolase	NAD+ + H2O <=> AMP + Nicotinamide D-ribonucleotide	MNXR145755	11800;11801;11802;11803	rxn00076;rxn20269;rxn30410;rxn33290;rxn38181	NADDP;NADDPe;NADDPp;NADDPp_1;NPH	NADPYROPHOSPHAT-RXN	684
R00104	ATP:NAD+ 2'-phosphotransferase	ATP + NAD+ <=> ADP + NADP+	MNXR101882	18629;18630;18631;18632	rxn00077;rxn28003;rxn30190;rxn38696	NADK;NADK_1;NADK_h;NADKm	NAD-KIN-RXN	47
R00105	ATP:NADH 2'-phosphotransferase	ATP + NADH <=> ADP + NADPH	MNXR106390	12260;12261;12262;12263	rxn00078;rxn33597		NADH-KINASE-RXN	685
R00106	NADPH:ferricytochrome oxidoreductase	NADPH + 2 Ferricytochrome <=> NADP+ + 2 Ferrocytochrome + H+	MNXR106391					
R00107	cob(II)alamin:NADP+ oxidoreductase	NADPH + 2 Aquacob(III)alamin <=> NADP+ + 2 Cob(II)alamin + 2 H2O + H+						
R00108	NADPH:ferricytochrome-c2 oxidoreductase	NADPH + 2 Ferricytochrome c2 <=> NADP+ + 2 Ferrocytochrome c2 + H+	MNXR106393		rxn05774;rxn20265		NADPH--CYTOCHROME-C2-REDUCTASE-RXN	
R00109	NADPH:ferrileghemoglobin oxidoreductase	NADPH + 2 Ferrileghemoglobin <=> NADP+ + 2 Ferroleghemoglobin + H+	MNXR146856					
R00111	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)	NADPH + 2 N(omega)-Hydroxyarginine + 2 Oxygen + H+ <=> NADP+ + 2 Nitric oxide + 2 L-Citrulline + 2 H2O	MNXR191882	24664;24665;24666;24667			RXN-13565	
R00112	NADPH:NAD+ oxidoreductase	NADPH + NAD+ <=> NADP+ + NADH	MNXR101898	11692;11693;11694;11695	rxn00083;rxn27488;rxn32580	NADTRHD;NADTRHD2;NNOR;THD1_h	PYRNUTRANSHYDROGEN-RXN	
R00113	NADPH:hydrogen-peroxide oxidoreductase	Hydrogen peroxide + NADPH + H+ <=> NADP+ + 2 H2O	MNXR106396	15173;15174;15175;15176	rxn00084;rxn32993		NADPH-PEROXIDASE-RXN	10955
R00114	L-glutamate:NADP+ oxidoreductase (transaminating)	2 L-Glutamate + NADP+ <=> L-Glutamine + 2-Oxoglutarate + NADPH + H+	MNXR100291	15501;15502;15503;15504	rxn00085;rxn27889;rxn33967	GLUS_nadph;GLUSy	GLUTAMATESYN-RXN	694
R00115	glutathione:NADP+ oxidoreductase	2 Glutathione + NADP+ <=> Glutathione disulfide + NADPH + H+	MNXR100098	11740;11741;11742;11743	rxn00086;rxn19841;rxn19842;rxn32133	GDR_nadp_h;GTHOm;GTHOr	GLUTATHIONE-REDUCT-NADPH-RXN	695
R00118	NADP+ 2'-phosphohydrolase	NADP+ + H2O <=> Orthophosphate + NAD+	MNXR101798	28050;28051;28052;28053	rxn00088;rxn30204;rxn30737;rxn32045;rxn38392;rxn38393	NADPPPS;NADPPPSm	RXN-5822	697
R00119	NADP+:nicotinate ADP-ribosyltransferase	NADP+ + Nicotinate <=> Nicotinamide + Nicotinic acid adenine dinucleotide phosphate	MNXR106397	38599;38600;38601;38602	rxn39259		RXN-13973	7319
R00120	glutathione:oxygen oxidoreductase	Oxygen + 2 Glutathione <=> Glutathione disulfide + Hydrogen peroxide	MNXR106398	24112;24113;24114;24115	rxn00090		GLUTATHIONE-OXIDASE-RXN	
R00122	ADP phosphohydrolase	ADP + H2O <=> AMP + Orthophosphate	MNXR96129	61436;61437;61438;61439	rxn00092;rxn33337	ATPH2e;NDP1	RXN-10862	246
R00123	ADP aminohydrolase	ADP + H2O <=> IDP + Ammonia	MNXR146858	12741;12742;12743;12744	rxn00093;rxn43829		ADP-DEAMINASE-RXN	
R00124	ATP:ADP phosphatransferase	ATP + ADP <=> ADP + ATP	MNXR106400;MNXR96123	34999;35000;35001;35002	rxn29240;rxn34160	ATP1ter;ATPt;ATPt_h;ATPtg;ATPtm;r0859;r0860		
R00125	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase	P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> 2 ADP	MNXR190680	24252;24253;24254;24255	rxn00095;rxn35438	AP4AH;BTPS	3.6.1.41-RXN	
R00126	ADP:ATP adenylyltransferase	ADP + ATP <=> Orthophosphate + P1,P4-Bis(5'-adenosyl)tetraphosphate	MNXR190577	16577;16578;16579;16580	rxn00096;rxn35428	ADATT;ATPATF1	ATP-ADENYLYLTRANSFERASE-RXN	248
R00127	ATP:AMP phosphotransferase	ATP + AMP <=> 2 ADP	MNXR95450	12973;12974;12975;12976	rxn00097;rxn27684;rxn27685	ADK1;ADK1g;ADK1m;ATAMh	ADENYL-KIN-RXN	82
R00128	Adenosine-tetraphosphate phosphohydrolase	Adenosine tetraphosphate + H2O <=> ATP + Orthophosphate	MNXR106401	24500;24501;24502;24503	rxn00098		ADENOSINE-TETRAPHOSPHATASE-RXN	
R00129	(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming)	ATP + (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> ADP + Orthophosphate + NADH	MNXR106402	19017;19018;19019;19020	rxn00099		4.2.1.93-RXN	
R00130	ATP:dephospho-CoA 3'-phosphotransferase	ATP + Dephospho-CoA <=> ADP + CoA	MNXR190944	18245;18246;18247;18248	rxn00100;rxn30214;rxn33067	DPCOAK;DPCOAK_1;DPCOAKc;DPCOAKm	DEPHOSPHOCOAKIN-RXN	48
R00131	Urea amidohydrolase	Urea + H2O <=> CO2 + 2 Ammonia	MNXR105153	20557;20558;20559;20560	rxn00101;rxn30324	UREA;UREASE_m;UREA_1	UREASE-RXN	289
R00132	carbonate hydro-lyase (carbon-dioxide-forming)	Carbonic acid <=> CO2 + H2O	MNXR100482	10748;10749;10750;10751	rxn00102;rxn26146;rxn27740;rxn27741;rxn30392;rxn37640	H2CO3D;H2CO3Dm;HCO3E;HCO3E_1_cx;HCO3Ee;HCO3Ehi;HCO3Em;HCO3En	CARBODEHYDRAT-RXN;RXN0-5224	703
R00134	formate:NADP+ oxidoreductase	Formate + NADP+ <=> CO2 + NADPH + H+	MNXR106403	12000;12001;12002;12003	rxn00103;rxn33750	FDH6r	FORMATE-DEHYDROGENASE-NADP+-RXN	
R00135		Peptide + H2O <=> L-Proline + Peptide						
R00137	ATP:nicotinamide-nucleotide adenylyltransferase	ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+	MNXR95841	21360;21361;21362;21363	rxn00105;rxn30218;rxn31803;rxn31815;rxn31816;rxn35311	ANNAT;ANNATn;NMNAT;NMNATm;NMNATn	2.7.7.1-RXN	706
R00138	Triphosphate phosphohydrolase	Triphosphate + H2O <=> Diphosphate + Orthophosphate	MNXR103069	14157;14158;14159;14160	rxn00106	PPA2;PPA2m	TRIPHOSPHATASE-RXN	707
R00139	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP	MNXR106405		rxn00107			
R00140	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ADP <=> 5-Hydroxymethyldeoxycytidylate + ATP	MNXR106406		rxn00108			
R00141	ATP:ammonia phosphotransferase	ATP + Ammonia <=> ADP + Phosphoramidate	MNXR106407	11024;11025;11026;11027	rxn14341;rxn46156		AMMONIA-KINASE-RXN	
R00143	ammonia:NAD+ oxidoreductase	Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+	MNXR145168	20581;20582;20583;20584	rxn00109;rxn27936;rxn47143	HAMR	HYDROXYLAMINE-REDUCTASE-NADH-RXN	
R00145	alpha-amino acid:NAD+ oxidoreductase (deaminating)	alpha-Amino acid + H2O + NAD+ <=> 2-Oxo acid + Ammonia + NADH + H+	MNXR146860					
R00146	alpha-amino acid:NADP+ oxidoreductase (deaminating)	alpha-Amino acid + H2O + NADP+ <=> 2-Oxo acid + Ammonia + NADPH + H+	MNXR146862					
R00148	ammonia,ubiquinol:oxygen oxidoreductase	Ammonia + Oxygen + Ubiquinol <=> Hydroxylamine + H2O + Ubiquinone	MNXR143456					
