KEGG	Name	Formula	MetaNetX	ModelSEED	BiGG	ChEBI	MetaCyc	SABIO-RK	Reactome
C00011	CO2	CO2	MNXM13	cpd00011	co2	139538;16526	CARBON-DIOXIDE	1266	R-ALL-113528;R-ALL-1237009;R-ALL-159751;R-ALL-159942;R-ALL-189480;R-ALL-29376;R-ALL-389536;R-ALL-5668565
C00012	Peptide	C2H4NO2R(C2H2NOR)n	MNXM729064						
C00013	Diphosphate	H4P2O7	MNXM11	cpd00012;cpd27828	ppi	18361;29888;33017;33019;45212	PPI;PYROPHOSPHATE-GROUP	1267	R-ALL-111294;R-ALL-113541;R-ALL-113542;R-ALL-114654;R-ALL-159450;R-ALL-2046049;R-ALL-389593
C00014	Ammonia	NH3	MNXM729302	cpd00013;cpd19013	nh3;nh4	135980;16134;28938	AMMONIA;AMMONIUM	1268;43	R-ALL-113561;R-ALL-140912;R-ALL-2022135;R-ALL-29382;R-ALL-31633;R-ALL-389843;R-ALL-76230
C00015	UDP	C9H14N2O12P2	MNXM1102128	cpd00014	udp	17659;58223	UDP;UDP-GROUP	1269	R-ALL-110096;R-ALL-110732;R-ALL-158602;R-ALL-205687;R-ALL-417888
C00016	FAD	C27H33N9O15P2	MNXM1105936		fad	16238		1270	R-ALL-113596;R-ALL-113597;R-ALL-141335;R-ALL-141707;R-ALL-189484;R-ALL-2160490;R-ALL-217259;R-ALL-29386
C00017	Protein	C2H4NO2R(C2H2NOR)n	MNXM733321						
C00018	Pyridoxal phosphate	C8H10NO6P	MNXM161	cpd00016	pydx5p	18405;597326	PYRIDOXAL_PHOSPHATE	1271	R-ALL-29390
C00019	S-Adenosyl-L-methionine	C15H22N6O5S	MNXM1102072	cpd00017;cpd33804	amet	142094;15414;33442;59789;67040	S-ADENOSYLMETHIONINE	1272	R-ALL-2162265;R-ALL-71284;R-ALL-77087
C00020	AMP	C10H14N5O7P	MNXM728294	cpd00018	amp	16027;40721;456215	AMP;AMP-GROUP	1273	R-ALL-109275;R-ALL-159448;R-ALL-164121;R-ALL-2046064;R-ALL-389620;R-ALL-76577
C00021	S-Adenosyl-L-homocysteine	C14H20N6O5S	MNXM1102167	cpd00019	ahcys	16680;57856;67009	ADENOSYL-HOMO-CYS	1274	R-ALL-2162252;R-ALL-71285;R-ALL-77502
C00022	Pyruvate	C3H4O3	MNXM23	cpd00020	pyr	15361;177913;32816	PYRUVATE	33	R-ALL-113557;R-ALL-29398;R-ALL-389680;R-ALL-429750
C00023	Iron	Fe	MNXM726710	cpd00021		18248;52623;82664			R-ALL-71160
C00024	Acetyl-CoA	C23H38N7O17P3S	MNXM1104266	cpd00022	accoa	15351;57288	ACETYL-COA	1276	R-ALL-113559;R-ALL-113560;R-ALL-353123;R-ALL-727753;R-ALL-76183
C00025	L-Glutamate	C5H9NO4	MNXM741173	cpd00023	glu__L	16015;29985;29988	GLT	73	R-ALL-113552;R-ALL-210382;R-ALL-210509;R-ALL-29404;R-ALL-428614
C00026	2-Oxoglutarate	C5H6O5	MNXM20	cpd00024	akg	16810;30915;30916	2-KETOGLUTARATE	1922	R-ALL-113594;R-ALL-113671;R-ALL-1650779;R-ALL-29406;R-ALL-389537;R-ALL-561075
C00027	Hydrogen peroxide	H2O2	MNXM732620	cpd00025	h2o2	16240;29192	HYDROGEN-PEROXIDE	1909	R-ALL-113575;R-ALL-1614617;R-ALL-189481;R-ALL-29408;R-ALL-3341383;R-ALL-351629
C00028	Acceptor		MNXM8975	cpd12040;cpd22290			Acceptor	3062;6051	
C00029	UDP-glucose	C15H24N2O17P2	MNXM1104702	cpd00026;cpd28293	udpg	18066;46229;58367;58885	CPD-12575	1277;3918	R-ALL-173594;R-ALL-29410;R-ALL-417855;R-ALL-744227
C00030	Reduced acceptor		MNXM1102419						
C00031	D-Glucose	C6H12O6	MNXM1137670	cpd00027	glc__D	4167	Glucopyranose;Hederagenin-Monoglucosides;Soyasapogenol-B-Monoglucosides;Soyasapogenol-E-Monoglucosides	1406;1407	
C00032	Heme	C34H32FeN4O4	MNXM249		pheme	17627;26355;60344	PROTOHEME	5000	R-ALL-113569;R-ALL-189444;R-ALL-198842;R-ALL-2168843;R-ALL-2230964;R-ALL-2311355;R-ALL-71185;R-ALL-917877;R-ALL-917919
C00033	Acetate	C2H4O2	MNXM26	cpd00029	ac	15366;30089	ACET;CPD-24335	1278	R-ALL-113539;R-ALL-1524044;R-ALL-2022890;R-ALL-29416;R-ALL-372540;R-ALL-390305;R-ALL-427486;R-ALL-5566518
C00034	Manganese	Mn	MNXM1932	cpd37272		176583;18291;35154			
C00035	GDP	C10H15N5O11P2	MNXM1103285	cpd00031	gdp	17552;58189;65180	GDP;GDP-GROUP	1280	R-ALL-111349;R-ALL-113525;R-ALL-114549;R-ALL-114622;R-ALL-114623;R-ALL-1467290;R-ALL-1996292;R-ALL-205689;R-ALL-29420;R-ALL-5617810
C00036	Oxaloacetate	C4H4O5	MNXM46	cpd00032	oaa	16452;30744	OXALACETIC_ACID	1915	R-ALL-113587;R-ALL-76213
C00037	Glycine	C2H5NO2	MNXM29	cpd00033	gly	132194;15428;32507;32508;57305	GLY;Phosphorylated-Amino-Acids	66	R-ALL-113545;R-ALL-159549;R-ALL-193446;R-ALL-266029;R-ALL-29424;R-ALL-428557
C00038	Zinc cation	Zn	MNXM729215	cpd00034	HC02172;zn2	176618;29105	ZN+2	1281	R-ALL-109265;R-ALL-1562550;R-ALL-158417;R-ALL-190019;R-ALL-200493;R-ALL-216667;R-ALL-216785;R-ALL-29426;R-ALL-3777117;R-ALL-435350;R-ALL-437093;R-ALL-442320;R-ALL-5211336;R-ALL-5228397;R-ALL-5228942;R-ALL-5668571;R-ALL-880067;R-ALL-975815
C00039	DNA	C10H17O8PR2(C5H8O5PR)n	MNXM634	cpd11461	dna	16991	DNA-Holder	1770	R-ALL-874088;R-ALL-976796
C00040	Acyl-CoA	C22H35N7O17P3SR	MNXM729259						
C00041	L-Alanine	C3H7NO2	MNXM1105732	cpd00035	ala__L	16977;32431;32432;57972;76050	L-ALPHA-ALANINE	67	R-ALL-29432;R-ALL-352036;R-ALL-379697;R-ALL-389664
C00042	Succinate	C4H6O4	MNXM25	cpd00036	succ	15741;172952;30031;30779;90372	SUC	1924	R-ALL-113536;R-ALL-159939;R-ALL-1650769;R-ALL-29434;R-ALL-389583;R-ALL-433123
C00043	UDP-N-acetyl-alpha-D-glucosamine	C17H27N3O17P2	MNXM1104529	cpd00037	uacgam	16264;57705	UDP-N-ACETYL-D-GLUCOSAMINE	1925	R-ALL-162756;R-ALL-3499326;R-ALL-914003
C00044	GTP	C10H16N5O14P3	MNXM1103553	cpd00038	gtp	15996;37565;57600	GTP	1282	R-ALL-113571;R-ALL-113573;R-ALL-114625;R-ALL-114626;R-ALL-1806221;R-ALL-1996291;R-ALL-2213216;R-ALL-29438;R-ALL-5617813;R-ALL-983318
C00045	Amino acid	C2H4NO2R	MNXM735845						
C00046	RNA	C10H18O13P2R2(C5H8O6PR)n	MNXM90337	cpd11613		18273	RNA-Holder	1730;6652	
C00047	L-Lysine	C6H14N2O2	MNXM1106164	cpd00039;cpd19182	lys__L	133538;18019;25094;32550;32551;32552;32563;32564;32565	LYS	22945;79	R-ALL-29444;R-ALL-351979;R-ALL-351991;R-ALL-428004
C00048	Glyoxylate	C2H2O3	MNXM69	cpd00040	glx	16891;36655	GLYOX	1838	R-ALL-389678;R-ALL-904849
C00049	L-Aspartate	C4H7NO4	MNXM1108206	cpd00041	asp__L	17053;176631;177910;29991;29993	L-ASPARTATE	71	R-ALL-113553;R-ALL-29448;R-ALL-351973;R-ALL-427963
C00050	Metal		MNXM61531	cpd11614					
C00051	Glutathione	C10H17N3O6S	MNXM490899	cpd00042	gthrd	16856;57925	GLUTATHIONE;GSH-Group	1926	R-ALL-1247892;R-ALL-1500783;R-ALL-158543;R-ALL-1655887;R-ALL-2239524;R-ALL-29450
C00052	UDP-alpha-D-galactose	C15H24N2O17P2	MNXM1104754	cpd00043;cpd30770	udpgal	18307;58439;66914;67119	CPD-14553	1283;3919	R-ALL-1981137;R-ALL-29452;R-ALL-735682
C00053	3'-Phosphoadenylyl sulfate	C10H15N5O13P2S	MNXM1104555	cpd00044	paps	17980;58339	PAPS	1776	R-ALL-158471;R-ALL-741440
C00054	Adenosine 3',5'-bisphosphate	C10H15N5O10P2	MNXM1103458	cpd00045	pap	17985;58343	3-5-ADP	1672	R-ALL-158466;R-ALL-742343
C00055	CMP	C9H14N3O8P	MNXM1103302	cpd00046	cmp	17361;60377	CMP;CMP-GROUP	1284	R-ALL-109289;R-ALL-109395;R-ALL-1524067;R-ALL-418076;R-ALL-727810
C00058	Formate	CH2O2	MNXM39	cpd00047;cpd22511	for	15740;30751	CARBOXYL-GROUP;CPD1G-1532;CPD1G-1533;CPD1G-1534;CPD1G-1535;FORMATE	1285	R-ALL-29460;R-ALL-389585;R-ALL-444084
C00059	Sulfate	H2SO4	MNXM58	cpd00048;cpd29301	so4	16189;26836;45696	HSO4;SULFATE	1759	R-ALL-1606845;R-ALL-1609649;R-ALL-1614584;R-ALL-174375;R-ALL-427648
C00060	Carboxylate	CO2R	MNXM739615						
C00061	FMN	C17H21N4O9P	MNXM1105927		fmn	17621	Oxidized-flavodoxins	1673	R-ALL-389864;R-ALL-73524;R-ALL-76629
C00062	L-Arginine	C6H14N4O2	MNXM739527	cpd00051	arg__L	16467;32681;32682;32683	ARG	23080;80	R-ALL-113530;R-ALL-29468;R-ALL-351977;R-ALL-374064;R-ALL-428011
C00063	CTP	C9H16N3O14P3	MNXM1103718	cpd00052	ctp	17677;37563;58231	CTP	1286	R-ALL-110577;R-ALL-110614;R-ALL-29470
C00064	L-Glutamine	C5H10N2O3	MNXM37	cpd00053;cpd00253	gln__L	18050;28300;32665;32666;32678;32679;58359	GLN	2011;74	R-ALL-113522;R-ALL-212615;R-ALL-29472
C00065	L-Serine	C3H7NO3	MNXM737787	cpd00054	ser__L	17115;32836;32837;33384	SER	2140;75	R-ALL-200736;R-ALL-352002;R-ALL-379732
C00066	tRNA	C10H17O10PR2(C5H8O6PR)n	MNXM91319	cpd11615		17843	All-tRNAs	3032	
C00067	Formaldehyde	CH2O	MNXM736417	cpd00055	fald	16842	FORMALDEHYDE	1928	R-ALL-143501;R-ALL-29478;R-ALL-879250
C00068	Thiamin diphosphate	C12H19N4O7P2S	MNXM256	cpd00056	thmpp	45931;58937;9532	THIAMINE-PYROPHOSPHATE	1287	R-ALL-113547;R-ALL-29480;R-ALL-389589
C00069	Alcohol	HOR	MNXM730842						
C00070	Copper	Cu	MNXM731165	cpd37270		28694;30052;52630			R-ALL-164300;R-ALL-351602;R-ALL-904823
C00071	Aldehyde	CHOR	MNXM277	cpd11616		17478	Aldehydes	1410	
C00072	Ascorbate	C6H8O6	MNXM727871	cpd00059	ascb__L	29073;38290	ASCORBATE	1929	R-ALL-1981146;R-ALL-198816;R-ALL-198836;R-ALL-351595;R-ALL-5251226
C00073	L-Methionine	C5H11NO2S	MNXM738804	cpd00060	met__L	16643;32631;32632;57844	MET	2315;77	R-ALL-174390;R-ALL-351966;R-ALL-379705
C00074	Phosphoenolpyruvate	C3H5O6P	MNXM73	cpd00061	pep	18021;44897;58702	PHOSPHO-ENOL-PYRUVATE	32	R-ALL-29492;R-ALL-372364
C00075	UTP	C9H15N2O15P3	MNXM1101474	cpd00062	utp	15713;46398;57481	UTP	1288	R-ALL-110731;R-ALL-113562;R-ALL-29494;R-ALL-417877
C00076	Calcium cation	Ca	MNXM128	cpd00063;cpd29674	ca2	176609;29108;39123	CA+2	1289	R-ALL-111875;R-ALL-114582;R-ALL-139827;R-ALL-140648;R-ALL-141090;R-ALL-1500625;R-ALL-1524102;R-ALL-1606834;R-ALL-167012;R-ALL-216801;R-ALL-2318767;R-ALL-2855229;R-ALL-29496;R-ALL-5210949;R-ALL-74016;R-ALL-74112
C00077	L-Ornithine	C5H12N2O2	MNXM741175	cpd00064	orn;orn__L	15729;44667;46911;46914	L-ORNITHINE	1290	R-ALL-113585;R-ALL-113586;R-ALL-29498;R-ALL-375800
C00078	L-Tryptophan	C11H12N2O2	MNXM741553	cpd00065;cpd19007	trp__L	16828;27897;32702;32704;32727;32728;57912;64554	TRP	2164;85	R-ALL-29500;R-ALL-352006;R-ALL-379709
C00079	L-Phenylalanine	C9H11NO2	MNXM741664	cpd00066	phe__L	17295;176650;32486;32487;58095	PHE	2365;83	R-ALL-29502;R-ALL-351993;R-ALL-379701
C00080	H+	H	MNXM1	cpd00067	h	15378;24636;29233;29234	PROTON	39	R-ALL-1132304;R-ALL-113529;R-ALL-1470067;R-ALL-156540;R-ALL-1614597;R-ALL-163953;R-ALL-193465;R-ALL-194688;R-ALL-2000349;R-ALL-2429673;R-ALL-2872447;R-ALL-351626;R-ALL-372511;R-ALL-374900;R-ALL-425969;R-ALL-425978;R-ALL-425999;R-ALL-427899;R-ALL-428040;R-ALL-428548;R-ALL-5228597;R-ALL-5244410;R-ALL-5668577;R-ALL-70106;R-ALL-74722
C00081	ITP	C10H15N4O14P3	MNXM1103428	cpd00068	itp	16039;57614;61402	ITP	1291	R-ALL-2509836
C00082	L-Tyrosine	C9H11NO3	MNXM76	cpd00069;cpd30745	tyr__L	17895;18186;32760;32761;32762;32784;32785;32786;58315	TYR	2291;84	R-ALL-29506;R-ALL-352030;R-ALL-379710;R-ALL-5668567
C00083	Malonyl-CoA	C24H38N7O19P3S	MNXM1106093	cpd00070	malcoa	15531;57384	MALONYL-COA	1930	R-ALL-2046066;R-ALL-29508;R-ALL-977323
C00084	Acetaldehyde	C2H4O	MNXM75	cpd00071	acald	15343	ACETALD	1292	R-ALL-113532;R-ALL-113681;R-ALL-113745;R-ALL-29510
C00085	D-Fructose 6-phosphate	C6H13O9P	MNXM1107898	cpd00072;cpd19035	f6p	16084;57634;61527;61553	CPD-18719;FRUCTOSE-6P	25	R-ALL-29512
C00086	Urea	CH4N2O	MNXM117	cpd00073	urea	134711;16199;32285;48376	UREA	1798	R-ALL-29514;R-ALL-374061;R-ALL-432019
C00087	Sulfur	S	MNXM1107418	cpd00074	s	26833;37979;37980;37981;37982;37983;37984;37985	Elemental-Sulfur	5001	R-ALL-2566513
C00088	Nitrite	HNO2	MNXM107	cpd00075	no2	16301;25567	NITRITE	3058	R-ALL-1222379;R-ALL-3697842
C00089	Sucrose	C12H22O11	MNXM1104180	cpd00076	sucr	172954;17992	SUCROSE	1294	R-ALL-188980
C00090	Catechol	C6H6O2	MNXM731896	cpd00077;cpd01232	catechol	18135;32402;50524	CATECHOL	5002	
C00091	Succinyl-CoA	C25H40N7O19P3S	MNXM1104774	cpd00078	succoa	15380;57292	SUC-COA	1931	R-ALL-70958
C00092	D-Glucose 6-phosphate	C6H13O9P	MNXM1105858	cpd00079;cpd26836	g6p	14314;4170;61548	D-glucopyranose-6-phosphate;Glucose-6-phosphate	1404;1405	R-ALL-1629756
C00093	sn-Glycerol 3-phosphate	C3H9O6P	MNXM66	cpd00080	glyc3p	15978;57597	GLYCEROL-3P	1296	R-ALL-188458;R-ALL-76114
C00094	Sulfite	H2SO3	MNXM726339	cpd00081	so3	17137;17359;48854	H2SO3;HSO3;SO3	3059	R-ALL-1614538;R-ALL-936689
C00095	D-Fructose	C6H12O6	MNXM729613	cpd00082		37721	Fructofuranose		
C00096	GDP-mannose	C16H25N5O16P2	MNXM1104188	cpd00083	gdpmann	15820;57527	GDP-MANNOSE	1559;29021;3925	R-ALL-162860;R-ALL-744233
C00097	L-Cysteine	C3H7NO2S	MNXM738068	cpd00084	cys__L	17561;32442;32443;32445;35235	CYS	78	R-ALL-111707;R-ALL-352016;R-ALL-379721;R-ALL-5668576
C00098	Oligopeptide	C2H4NO2R(C2H2NOR)n	MNXM96973	cpd11617;cpd27704		25676	OLIGOPEPTIDES		R-ALL-1236722;R-ALL-1236727;R-ALL-983032;R-ALL-983033;R-ALL-983034;R-ALL-983036
C00099	beta-Alanine	C3H7NO2	MNXM144	cpd00085	ala_B	16958;57966;63070	B-ALANINE	1932	R-ALL-352021;R-ALL-73590;R-ALL-909777
C00100	Propanoyl-CoA	C24H40N7O17P3S	MNXM1106156	cpd00086	ppcoa	15539;57392	PROPIONYL-COA	1933	R-ALL-192314;R-ALL-70843
C00101	Tetrahydrofolate	C19H23N7O6	MNXM1103936	cpd00087	thf	15635;20506;57453;68437	THF	1297	R-ALL-111355;R-ALL-200671
C00102	2,6-Dichloroindophenol	C12H7Cl2NO2	MNXM4271	cpd00088		945	DCPIP	5004	
C00103	D-Glucose 1-phosphate	C6H13O9P	MNXM1106068	cpd00089		29042;58601	GLC-1-P	1298	
C00104	IDP	C10H14N4O11P2	MNXM1104559	cpd00090	idp	17808;58280	IDP	1299	R-ALL-2509811
C00105	UMP	C9H13N2O9P	MNXM1104823	cpd00091	ump	16695;57865	UMP	1300;25061	R-ALL-109280;R-ALL-109402;R-ALL-109512;R-ALL-418075;R-ALL-735698
C00106	Uracil	C4H4N2O2	MNXM158	cpd00092	ura	17568;177594;43254	URACIL	61	R-ALL-29554;R-ALL-83961;R-ALL-83962
C00107	Dipeptide	C4H6N2O3R2	MNXM1104002			90799			R-ALL-8942694;R-ALL-8942698
C00108	Anthranilate	C7H7NO2	MNXM188	cpd00093	anth	16567;30754	ANTHRANILATE	5005	
C00109	2-Oxobutanoate	C4H6O3	MNXM159	cpd00094	2obut	144836;16763;30831	2-OXOBUTANOATE	1934	R-ALL-936714
C00110	Dolichyl phosphate	C20H37O4P(C5H8)n	MNXM731230			16214;57683			R-ALL-162872;R-ALL-449299;R-ALL-449311;R-ALL-912287
C00111	Glycerone phosphate	C3H7O6P	MNXM77	cpd00095	dhap	16108;57642	DIHYDROXY-ACETONE-PHOSPHATE	28	R-ALL-188451;R-ALL-390404;R-ALL-75970
C00112	CDP	C9H15N3O11P2	MNXM1102191	cpd00096	cdp	17239;58069	CDP;CDP-GROUP		R-ALL-110094;R-ALL-110638;R-ALL-111809
C00113	PQQ	C14H6N2O8	MNXM601	cpd00097	pqq	18315;58442	PQQ	5007	R-ALL-351594
C00114	Choline	C5H14NO	MNXM90	cpd00098	chol	15354;72322	CHOLINE	1935	R-ALL-264618;R-ALL-264638
C00116	Glycerol	C3H8O3	MNXM89612	cpd00100	glyc	17754	GLYCEROL	1303	R-ALL-192438;R-ALL-76116
C00117	D-Ribose 5-phosphate	C5H11O8P	MNXM1104056	cpd00101;cpd19028	r5p	140679;18189;52742;78346	CPD-15317;CPD-15318	1473	
C00118	D-Glyceraldehyde 3-phosphate	C3H7O6P	MNXM739946	cpd00102		29052;59776	GAP	27	R-ALL-29578
C00119	5-Phospho-alpha-D-ribose 1-diphosphate	C5H13O14P3	MNXM1104453	cpd00103	prpp	17111;58017	PRPP	1305	R-ALL-73566
C00120	Biotin	C10H16N2O3S	MNXM304	cpd00104	btn	15956;57586	BIOTIN	1936	R-ALL-199207;R-ALL-199238;R-ALL-29582
C00121	D-Ribose	C5H10O5	MNXM1108051	cpd00105	rib__D	47013	D-Ribofuranose	1653	
C00122	Fumarate	C4H4O4	MNXM737340	cpd00106	fum	18012;29806;37154	FUM	1910	R-ALL-113588;R-ALL-29586
C00123	L-Leucine	C6H13NO2	MNXM1106761	cpd00107;cpd15143		15603;25017;32619;32620;32627;32628;57427	LEU	21059;69	R-ALL-113580;R-ALL-29588;R-ALL-351964
C00124	D-Galactose	C6H12O6	MNXM1108176	cpd00108		4139	D-galactopyranose	1661	
C00125	Ferricytochrome c	C42H44FeN8O8S2R4	MNXM731952						
C00126	Ferrocytochrome c	C42H44FeN8O8S2R4	MNXM731957						
C00127	Glutathione disulfide	C20H32N6O12S2	MNXM729383	cpd00111	gthox	17858;58297	OXIDIZED-GLUTATHIONE	1939	R-ALL-111745;R-ALL-1655882;R-ALL-3341331
C00128	CMP-N-acetylneuraminate	C20H31N4O16P	MNXM1103953	cpd00112	cmpacna	16556;57812	CMP-N-ACETYL-NEURAMINATE	5008	R-ALL-4085418;R-ALL-4085435;R-ALL-727815
C00129	Isopentenyl diphosphate	C5H12O7P2	MNXM83	cpd00113	ipdp	128769;16584	DELTA3-ISOPENTENYL-PP	5009	R-ALL-191362;R-ALL-2162256
C00130	IMP	C10H13N4O8P	MNXM1101868	cpd00114	imp	17202;58053	IMP	1306	R-ALL-109286;R-ALL-2509792;R-ALL-29602;R-ALL-3221708
C00131	dATP	C10H16N5O12P3	MNXM286	cpd00115	datp	16284;495505;61404	DATP	1307	R-ALL-110644;R-ALL-110653;R-ALL-29604
C00132	Methanol	CH4O	MNXM729800	cpd00116	meoh	156265;17790	METOH	55	
C00133	D-Alanine	C3H7NO2	MNXM1105731	cpd00117	ala__D	15570;32435;32436;57416	D-ALANINE	1940	R-ALL-376188;R-ALL-376189
C00134	Putrescine	C4H12N2	MNXM118	cpd00118;cpd12215	ptrc	17148;172953;326268	PUTRESCINE	1941	R-ALL-141350;R-ALL-29610
C00135	L-Histidine	C6H9N3O2	MNXM1107769	cpd00119;cpd00572	his__L	15971;27570;32510;32512;32513;32529;32531;32532;57595	HIS	2151;81	R-ALL-29612;R-ALL-351970;R-ALL-379695;R-ALL-428038
C00136	Butanoyl-CoA	C25H42N7O17P3S	MNXM1104300	cpd00120	btcoa	15517;57371	BUTYRYL-COA	1942	R-ALL-77318
C00137	myo-Inositol	C6H12O6	MNXM1105941	cpd00121	inost	17268	MYO-INOSITOL		R-ALL-426910;R-ALL-429130
C00138	Reduced ferredoxin		MNXM169	cpd11620	fdxrd	17513	Reduced-ferredoxins	1943	
C00139	Oxidized ferredoxin		MNXM178	cpd11621	fdxo_2_2;fdxox	17908	Oxidized-ferredoxins	1944	
C00140	N-Acetyl-D-glucosamine	C8H15NO6	MNXM1105935	cpd00122;cpd02006;cpd27608;cpd27610	acgam	21601;506227	N-acetyl-D-glucosamine;N-acetyl-D-hexosamines		
C00141	3-Methyl-2-oxobutanoic acid	C5H8O3	MNXM732866	cpd00123	3mob	11851;16530	2-KETO-ISOVALERATE	1945	R-ALL-113584;R-ALL-70846
C00143	5,10-Methylenetetrahydrofolate	C20H23N7O6	MNXM1102150	cpd00125	mlthf	15636;1989	METHYLENE-THF	1308	
C00144	GMP	C10H14N5O8P	MNXM1101285	cpd00126	gmp	17345;58115	GMP	1309	R-ALL-113578;R-ALL-113579;R-ALL-29626;R-ALL-3221703;R-ALL-744239
C00145	Thiol	HSR	MNXM54	cpd11622		29256	Thiols		
C00146	Phenol	C6H6O	MNXM320	cpd00127	phenol	15882;50526	PHENOL	1947	R-ALL-158858;R-ALL-29630
C00147	Adenine	C5H5N5	MNXM168	cpd00128;cpd22238	ade	16708	ADENINE;ADENINE-RING	57	R-ALL-5635947;R-ALL-727751;R-ALL-83947;R-ALL-83951
C00148	L-Proline	C5H9NO2	MNXM114	cpd00129;cpd15140	pro__L	17203;172951;26271;32862;32864;32871;32872;60039	PRO	25536;82	R-ALL-113538;R-ALL-352033;R-ALL-379717
C00149	(S)-Malate	C4H6O5	MNXM1107192	cpd00130	mal__L	15589;30797	MAL	1918	R-ALL-113544;R-ALL-198498
C00150	Molybdenum	Mo	MNXM737841	cpd37275		135936;176570;28685;52633			
C00151	L-Amino acid	C2H4NO2R	MNXM381	cpd11623		15705;59814;59869	L-Amino-Acids		R-ALL-2103117;R-ALL-8943711
C00152	L-Asparagine	C4H8N2O3	MNXM1107821	cpd00132	asn__L	17196;32650;32651;58048	ASN	72	R-ALL-29642;R-ALL-351980;R-ALL-379703
C00153	Nicotinamide	C6H6N2O	MNXM216	cpd00133	ncam	17154	NIACINAMIDE	1949	R-ALL-197277;R-ALL-427497
C00154	Palmitoyl-CoA	C37H66N7O17P3S	MNXM1106160	cpd00134	pmtcoa	15525;57379	PALMITYL-COA	1310	R-ALL-200993;R-ALL-390426;R-ALL-5358339;R-ALL-77281
C00155	L-Homocysteine	C4H9NO2S	MNXM123	cpd00135;cpd19034	hcys__L	17230;17588;58065;58199;63072;66952	HOMO-CYS	1950;2768	R-ALL-174369
C00156	4-Hydroxybenzoate	C7H6O3	MNXM164	cpd00136	4hbz	17879;30763	4-hydroxybenzoate	1951	R-ALL-2162213
C00157	Phosphatidylcholine	C10H18NO8PR2	MNXM726687		pchol_hs	49183		5012	
C00158	Citrate	C6H8O7	MNXM1107753	cpd00137	cit	133748;16947;30769;35802;35804;35806;35808;35809;35810;76049	CIT	1952	R-ALL-29654;R-ALL-433138;R-ALL-76190
C00159	D-Mannose	C6H12O6	MNXM1105842	cpd00138	man	4208	D-mannopyranose	1656	R-ALL-429579;R-ALL-429635;R-ALL-912281;R-ALL-964752
C00160	Glycolate	C2H4O3	MNXM222	cpd00139;cpd12347	glyclt	17497;29805	GLYCOLLATE;Ketoaldonates	1953	R-ALL-389822
C00161	2-Oxo acid	C2HO3R	MNXM730321			30871;35910	2-Oxo-Acids;2-Oxo-carboxylates;Aromatic-Oxoacids		
C00162	Fatty acid	CHO2R	MNXM739606					1927;3036	
C00163	Propanoate	C3H6O2	MNXM1094052	cpd00141	ppa;prpnte	17272;30768	PROPIONATE	1955	R-ALL-429737;R-ALL-429754
C00164	Acetoacetate	C4H6O3	MNXM729595	cpd00142	acac	13705;15344	3-KETOBUTYRATE	1956	R-ALL-29666;R-ALL-433680;R-ALL-73909
